Serial No.,College Name,Ranking Agency,Year,Rank
38,Bannari Amman Institute of Technology - [BIT],Overall,2022 Ranking,-
38,Bannari Amman Institute of Technology - [BIT],B.Tech,2024 Ranking,#86|  out of 284 in  |India 2024|#8th in Tamil Nadu
38,Bannari Amman Institute of Technology - [BIT],B.Tech,2023 Ranking,#62|  out of 246 in  |India 2023
38,Bannari Amman Institute of Technology - [BIT],B.Tech,2022 Ranking,#63|  out of 238 in  |India 2022
38,Bannari Amman Institute of Technology - [BIT],MBA,2024 Ranking,#196|  out of 275 in  |India 2024
38,Bannari Amman Institute of Technology - [BIT],MBA,2023 Ranking,-
38,Bannari Amman Institute of Technology - [BIT],MBA,2022 Ranking,#116|  out of 281 in  |India 2022|#27th in Tamil Nadu
39,Institute of Engineering and Management - [IEM],Computer Applications,2024 Ranking,#118|  out of 167 in  |India 2024|#2nd in Kolkata
39,Institute of Engineering and Management - [IEM],Computer Applications,2023 Ranking,-
39,Institute of Engineering and Management - [IEM],Computer Applications,2022 Ranking,-
39,Institute of Engineering and Management - [IEM],B.Tech,2024 Ranking,-
39,Institute of Engineering and Management - [IEM],B.Tech,2023 Ranking,#53|  out of 246 in  |India 2023
39,Institute of Engineering and Management - [IEM],B.Tech,2022 Ranking,#61|  out of 238 in  |India 2022
39,Institute of Engineering and Management - [IEM],MBA,2024 Ranking,#169|  out of 275 in  |India 2024
39,Institute of Engineering and Management - [IEM],MBA,2023 Ranking,#182|  out of 272 in  |India 2023|#6th in Kolkata
39,Institute of Engineering and Management - [IEM],MBA,2022 Ranking,#191|  out of 281 in  |India 2022|#13th in West Bengal
39,Institute of Engineering and Management - [IEM],BBA/BMS,2024 Ranking,#197|  out of 211 in  |India 2024|#9th in Kolkata
39,Institute of Engineering and Management - [IEM],BBA/BMS,2023 Ranking,-
39,Institute of Engineering and Management - [IEM],BBA/BMS,2022 Ranking,-
40,Sona College of Technology,Overall,2024 Ranking,-
40,Sona College of Technology,Overall,2023 Ranking,#84|  out of 281 in  |India 2023|#7th in Tamil Nadu
40,Sona College of Technology,Overall,2022 Ranking,-
40,Sona College of Technology,B.Tech,2024 Ranking,#83|  out of 284 in  |India 2024|#7th in Tamil Nadu
40,Sona College of Technology,B.Tech,2023 Ranking,#54|  out of 246 in  |India 2023
40,Sona College of Technology,B.Tech,2022 Ranking,#60|  out of 238 in  |India 2022
40,Sona College of Technology,Fashion Design,2024 Ranking,#27|  out of 56 in  |India 2024|#3rd in Tamil Nadu
40,Sona College of Technology,Fashion Design,2023 Ranking,#30|  out of 51 in  |India 2023|#4th in Tamil Nadu
40,Sona College of Technology,Fashion Design,2022 Ranking,#30|  out of 49 in  |India 2022|#4th in Tamil Nadu
41,Jain University - [JU],Overall,2024 Ranking,#6|  out of 73 in  |India 2024
41,Jain University - [JU],Overall,2023 Ranking,-
41,Jain University - [JU],Overall,2022 Ranking,-
41,Jain University - [JU],Arts,2024 Ranking,#51|  out of 186 in  |India 2024|#6th in Bangalore
41,Jain University - [JU],Arts,2023 Ranking,#49|  out of 173 in  |India 2023|#6th in Bangalore
41,Jain University - [JU],Arts,2022 Ranking,#50|  out of 171 in  |India 2022|#6th in Bangalore
41,Jain University - [JU],Commerce,2024 Ranking,#41|  out of 229 in  |India 2024|#6th in Bangalore
41,Jain University - [JU],Commerce,2023 Ranking,#43|  out of 225 in  |India 2023|#7th in Bangalore
41,Jain University - [JU],Commerce,2022 Ranking,#43|  out of 212 in  |India 2022|#7th in Bangalore
41,Jain University - [JU],Computer Applications,2024 Ranking,#13|  out of 167 in  |India 2024|#5th in Bangalore
41,Jain University - [JU],Computer Applications,2023 Ranking,#14|  out of 170 in  |India 2023|#6th in Bangalore
41,Jain University - [JU],Computer Applications,2022 Ranking,#12|  out of 149 in  |India 2022|#5th in Bangalore
41,Jain University - [JU],Mass Communications,2024 Ranking,#17|  out of 55 in  |India 2024|#4th in Bangalore
41,Jain University - [JU],Mass Communications,2023 Ranking,#18|  out of 55 in  |India 2023|#4th in Bangalore
41,Jain University - [JU],Mass Communications,2022 Ranking,#17|  out of 47 in  |India 2022|#4th in Bangalore
42,Chaitanya Bharathi Institute of Technology - [CBIT],Overall,2024 Ranking,-
42,Chaitanya Bharathi Institute of Technology - [CBIT],Overall,2023 Ranking,#62|  out of 281 in  |India 2023|#2nd in Hyderabad
